3000 ± 0.1,1100 ± 1200
3500 ± 0.1,1200 ± 1400
4000 ± 0.1,1100 ± 1200
4500 ± 0.1,1100 ± 1200
5000 ± 0.1,1100 ± 1200
5500 ± 0.1,1100 ± 1200
6000 ± 0.1,1100 ± 1200
6500 ± 0.1,1100 ± 1200
7000 ± 0.1,1100 ± 1200
7500 ± 0.1,1100 ± 1200
8000 ± 0.1,1200 ± 1300
8500 ± 0.1,1200 ± 1300
9000 ± 0.1,1200 ± 1300
9500 ± 0.1,1200 ± 1300
10000 ± 0.1,1200 ± 1400
10500 ± 0.1,1300 ± 1400
11000 ± 0.1,1300 ± 1500
11500 ± 0.1,1400 ± 1600
12000 ± 0.1,1500 ± 1700
12100 ± 0.1,1600 ± 1800
12200 ± 0.1,1700 ± 1800
12300 ± 0.1,1700 ± 1900
12400 ± 0.1,1800 ± 2000
12500 ± 0.1,1900 ± 2000
12600 ± 0.1,1900 ± 2100
12700 ± 0.1,2000 ± 2200
12800 ± 0.1,2100 ± 2300
12900 ± 0.1,2100 ± 2300
13000 ± 0.1,2200 ± 2400
13100 ± 0.1,2200 ± 2400
13200 ± 0.1,2200 ± 2400
13300 ± 0.1,2200 ± 2400
13400 ± 0.1,2100 ± 2300
13500 ± 0.1,2100 ± 2300
14000 ± 0.1,2000 ± 2200
14500 ± 0.1,1900 ± 2000
15000 ± 0.1,1700 ± 1900
15500 ± 0.1,1600 ± 1700
16000 ± 0.1,1500 ± 1600
